Sic         	0.0	0.114	0.071	0.146	0.15	0.098	0.175	0.182	0.256	0.256	0.162	0.162	0.189	0.194	0.194	0.278	0.194	0.194	0.184	0.241	0.241	0.207	0.241	0.25	0.25	0.286	0.25	0.233	0.346	0.346	0.412	0.412	0.35	0.3	0.289	0.263	0.394	0.542	0.379	0.444	0.5	0.478	0.423	0.5	0.5	0.5	0.48	0.458	0.44	0.44	0.44	0.385	0.361	0.389	0.471	0.438	0.4	0.4
NCa         	0.114	0.0	0.098	0.175	0.225	0.171	0.158	0.163	0.238	0.238	0.216	0.216	0.243	0.222	0.2	0.257	0.2	0.2	0.216	0.241	0.241	0.207	0.241	0.275	0.275	0.286	0.25	0.233	0.346	0.346	0.412	0.412	0.35	0.3	0.316	0.289	0.455	0.542	0.379	0.444	0.5	0.478	0.423	0.5	0.5	0.5	0.48	0.458	0.44	0.44	0.44	0.385	0.343	0.371	0.5	0.438	0.4	0.4
It         	0.071	0.098	0.0	0.143	0.15	0.095	0.15	0.214	0.256	0.256	0.184	0.184	0.211	0.216	0.167	0.25	0.167	0.167	0.231	0.241	0.241	0.207	0.241	0.3	0.3	0.286	0.25	0.233	0.346	0.346	0.412	0.412	0.35	0.3	0.316	0.289	0.424	0.542	0.379	0.444	0.5	0.478	0.423	0.5	0.5	0.5	0.48	0.458	0.44	0.44	0.44	0.385	0.361	0.389	0.5	0.438	0.4	0.4
Sp         	0.146	0.175	0.143	0.0	0.154	0.075	0.2	0.225	0.225	0.225	0.184	0.135	0.162	0.167	0.189	0.25	0.189	0.189	0.211	0.25	0.25	0.214	0.25	0.282	0.282	0.269	0.231	0.179	0.36	0.36	0.375	0.375	0.316	0.263	0.378	0.351	0.455	0.542	0.393	0.444	0.5	0.478	0.48	0.478	0.478	0.478	0.458	0.435	0.417	0.417	0.417	0.423	0.333	0.364	0.545	0.469	0.417	0.417
Fr         	0.15	0.225	0.15	0.154	0.0	0.128	0.205	0.225	0.25	0.25	0.189	0.189	0.216	0.222	0.222	0.286	0.222	0.222	0.263	0.31	0.31	0.31	0.31	0.243	0.243	0.259	0.222	0.179	0.37	0.37	0.312	0.312	0.316	0.263	0.333	0.286	0.441	0.577	0.379	0.464	0.538	0.52	0.5	0.5	0.5	0.5	0.48	0.458	0.44	0.44	0.44	0.444	0.371	0.4	0.5	0.394	0.423	0.423
Ptg         	0.098	0.171	0.095	0.075	0.128	0.0	0.195	0.22	0.262	0.262	0.184	0.135	0.162	0.167	0.189	0.25	0.189	0.189	0.231	0.25	0.25	0.214	0.25	0.282	0.282	0.296	0.259	0.207	0.36	0.36	0.412	0.412	0.35	0.3	0.351	0.324	0.424	0.542	0.393	0.444	0.5	0.478	0.44	0.5	0.5	0.5	0.48	0.458	0.44	0.44	0.44	0.385	0.353	0.382	0.515	0.469	0.417	0.417
Rm         	0.175	0.158	0.15	0.2	0.205	0.195	0.0	0.205	0.275	0.275	0.243	0.216	0.243	0.25	0.189	0.27	0.216	0.216	0.231	0.286	0.286	0.286	0.286	0.316	0.316	0.296	0.259	0.207	0.36	0.36	0.412	0.412	0.4	0.35	0.371	0.343	0.531	0.583	0.393	0.481	0.542	0.522	0.48	0.542	0.542	0.542	0.52	0.5	0.48	0.48	0.48	0.423	0.364	0.394	0.531	0.516	0.417	0.417
CG         	0.182	0.163	0.214	0.225	0.225	0.22	0.205	0.0	0.125	0.125	0.194	0.194	0.222	0.171	0.229	0.257	0.229	0.229	0.222	0.214	0.214	0.214	0.214	0.231	0.231	0.321	0.286	0.241	0.423	0.423	0.412	0.412	0.4	0.35	0.308	0.282	0.394	0.5	0.379	0.444	0.458	0.5	0.519	0.458	0.458	0.458	0.44	0.417	0.4	0.4	0.4	0.444	0.417	0.444	0.406	0.375	0.36	0.36
Grk         	0.256	0.238	0.256	0.225	0.25	0.262	0.275	0.125	0.0	0.024	0.184	0.184	0.211	0.158	0.216	0.237	0.216	0.216	0.237	0.179	0.179	0.179	0.179	0.244	0.244	0.296	0.259	0.214	0.423	0.423	0.375	0.375	0.368	0.316	0.31	0.326	0.353	0.5	0.379	0.444	0.458	0.5	0.556	0.435	0.435	0.435	0.417	0.391	0.375	0.375	0.375	0.481	0.417	0.4	0.485	0.406	0.36	0.36
CyG         	0.256	0.238	0.256	0.225	0.25	0.262	0.275	0.125	0.024	0.0	0.184	0.184	0.211	0.158	0.216	0.237	0.216	0.216	0.237	0.179	0.179	0.179	0.179	0.244	0.244	0.296	0.259	0.214	0.423	0.423	0.375	0.375	0.368	0.316	0.31	0.326	0.353	0.5	0.379	0.444	0.458	0.5	0.556	0.435	0.435	0.435	0.417	0.391	0.375	0.375	0.375	0.481	0.417	0.4	0.485	0.406	0.36	0.36
E         	0.162	0.216	0.184	0.184	0.189	0.184	0.243	0.194	0.184	0.184	0.0	0.105	0.079	0.135	0.111	0.171	0.111	0.111	0.189	0.222	0.222	0.222	0.222	0.205	0.205	0.308	0.269	0.214	0.32	0.32	0.375	0.375	0.316	0.263	0.306	0.278	0.364	0.458	0.286	0.37	0.417	0.391	0.417	0.478	0.478	0.478	0.458	0.391	0.417	0.417	0.417	0.4	0.294	0.324	0.517	0.387	0.375	0.375
Du         	0.162	0.216	0.184	0.135	0.189	0.135	0.216	0.194	0.184	0.184	0.105	0.0	0.054	0.056	0.108	0.143	0.108	0.108	0.162	0.185	0.185	0.185	0.185	0.205	0.205	0.269	0.231	0.179	0.28	0.28	0.375	0.375	0.316	0.263	0.333	0.306	0.424	0.5	0.321	0.407	0.458	0.435	0.458	0.522	0.522	0.522	0.5	0.435	0.458	0.458	0.458	0.44	0.303	0.333	0.517	0.452	0.333	0.333
Afk         	0.189	0.243	0.211	0.162	0.216	0.162	0.243	0.222	0.211	0.211	0.079	0.054	0.0	0.083	0.135	0.171	0.135	0.135	0.189	0.222	0.222	0.222	0.222	0.231	0.231	0.308	0.269	0.214	0.32	0.32	0.375	0.375	0.316	0.263	0.333	0.306	0.394	0.458	0.286	0.37	0.417	0.391	0.417	0.478	0.478	0.478	0.458	0.391	0.417	0.417	0.417	0.4	0.273	0.303	0.552	0.419	0.375	0.375
D         	0.194	0.222	0.216	0.167	0.222	0.167	0.25	0.171	0.158	0.158	0.135	0.056	0.083	0.0	0.139	0.111	0.139	0.139	0.194	0.143	0.143	0.179	0.179	0.184	0.184	0.308	0.269	0.214	0.32	0.32	0.438	0.438	0.368	0.316	0.333	0.306	0.424	0.5	0.321	0.407	0.458	0.435	0.5	0.522	0.522	0.522	0.5	0.435	0.458	0.458	0.458	0.48	0.333	0.364	0.517	0.452	0.333	0.333
Da         	0.194	0.2	0.167	0.189	0.222	0.189	0.189	0.229	0.216	0.216	0.111	0.108	0.135	0.139	0.0	0.114	0.056	0.083	0.184	0.185	0.185	0.185	0.185	0.237	0.237	0.269	0.231	0.179	0.28	0.28	0.375	0.375	0.316	0.263	0.371	0.343	0.469	0.5	0.321	0.407	0.458	0.435	0.458	0.522	0.522	0.522	0.5	0.435	0.458	0.458	0.458	0.44	0.333	0.364	0.571	0.467	0.333	0.333
Ice         	0.278	0.257	0.25	0.25	0.286	0.25	0.27	0.257	0.237	0.237	0.171	0.143	0.171	0.111	0.114	0.0	0.143	0.114	0.189	0.143	0.143	0.179	0.179	0.194	0.194	0.308	0.269	0.214	0.32	0.32	0.438	0.438	0.368	0.316	0.371	0.343	0.469	0.5	0.321	0.407	0.458	0.435	0.5	0.522	0.522	0.522	0.5	0.435	0.458	0.458	0.458	0.48	0.364	0.394	0.586	0.467	0.333	0.333
FO         	0.194	0.2	0.167	0.189	0.222	0.189	0.216	0.229	0.216	0.216	0.111	0.108	0.135	0.139	0.056	0.143	0.0	0.057	0.211	0.185	0.185	0.185	0.185	0.237	0.237	0.269	0.231	0.179	0.28	0.28	0.375	0.375	0.316	0.263	0.371	0.343	0.469	0.5	0.321	0.407	0.458	0.435	0.458	0.522	0.522	0.522	0.5	0.435	0.458	0.458	0.458	0.44	0.333	0.364	0.571	0.467	0.333	0.333
Nor         	0.194	0.2	0.167	0.189	0.222	0.189	0.216	0.229	0.216	0.216	0.111	0.108	0.135	0.139	0.083	0.114	0.057	0.0	0.184	0.185	0.185	0.185	0.185	0.237	0.237	0.269	0.231	0.179	0.28	0.28	0.375	0.375	0.316	0.263	0.371	0.343	0.469	0.5	0.321	0.407	0.458	0.435	0.458	0.522	0.522	0.522	0.5	0.435	0.458	0.458	0.458	0.44	0.333	0.364	0.571	0.467	0.333	0.333
