58
Sic         	0.0	0.093	0.049	0.125	0.128	0.075	0.154	0.163	0.238	0.238	0.139	0.139	0.167	0.171	0.171	0.257	0.171	0.171	0.162	0.214	0.214	0.179	0.214	0.231	0.231	0.259	0.222	0.207	0.32	0.32	0.375	0.375	0.316	0.263	0.27	0.243	0.375	0.522	0.357	0.423	0.478	0.455	0.4	0.478	0.478	0.478	0.458	0.435	0.417	0.417	0.417	0.36	0.343	0.371	0.455	0.419	0.375	0.375
NCa         	0.093	0.0	0.075	0.154	0.205	0.15	0.135	0.143	0.22	0.22	0.194	0.194	0.222	0.2	0.176	0.235	0.176	0.176	0.194	0.214	0.214	0.179	0.214	0.256	0.256	0.259	0.222	0.207	0.32	0.32	0.375	0.375	0.316	0.263	0.297	0.27	0.438	0.522	0.357	0.423	0.478	0.455	0.4	0.478	0.478	0.478	0.458	0.435	0.417	0.417	0.417	0.36	0.324	0.353	0.485	0.419	0.375	0.375
It         	0.049	0.075	0.0	0.122	0.128	0.073	0.128	0.195	0.238	0.238	0.162	0.162	0.189	0.194	0.143	0.229	0.143	0.143	0.211	0.214	0.214	0.179	0.214	0.282	0.282	0.259	0.222	0.207	0.32	0.32	0.375	0.375	0.316	0.263	0.297	0.27	0.406	0.522	0.357	0.423	0.478	0.455	0.4	0.478	0.478	0.478	0.458	0.435	0.417	0.417	0.417	0.36	0.343	0.371	0.485	0.419	0.375	0.375
Sp         	0.125	0.154	0.122	0.0	0.132	0.051	0.179	0.205	0.205	0.205	0.162	0.111	0.139	0.143	0.167	0.229	0.167	0.167	0.189	0.222	0.222	0.185	0.222	0.263	0.263	0.24	0.2	0.148	0.333	0.333	0.333	0.333	0.278	0.222	0.361	0.333	0.438	0.522	0.37	0.423	0.478	0.455	0.458	0.455	0.455	0.455	0.435	0.409	0.391	0.391	0.391	0.4	0.312	0.344	0.531	0.452	0.391	0.391
Fr         	0.128	0.205	0.128	0.132	0.0	0.105	0.184	0.205	0.231	0.231	0.167	0.167	0.194	0.2	0.2	0.265	0.2	0.2	0.243	0.286	0.286	0.286	0.286	0.222	0.222	0.231	0.192	0.148	0.346	0.346	0.267	0.267	0.278	0.222	0.314	0.265	0.424	0.56	0.357	0.444	0.52	0.5	0.48	0.478	0.478	0.478	0.458	0.435	0.417	0.417	0.417	0.423	0.353	0.382	0.484	0.375	0.4	0.4
Ptg         	0.075	0.15	0.073	0.051	0.105	0.0	0.175	0.2	0.244	0.244	0.162	0.111	0.139	0.143	0.167	0.229	0.167	0.167	0.211	0.222	0.222	0.185	0.222	0.263	0.263	0.269	0.231	0.179	0.333	0.333	0.375	0.375	0.316	0.263	0.333	0.306	0.406	0.522	0.37	0.423	0.478	0.455	0.417	0.478	0.478	0.478	0.458	0.435	0.417	0.417	0.417	0.36	0.333	0.364	0.5	0.452	0.391	0.391
Rm         	0.154	0.135	0.128	0.179	0.184	0.175	0.0	0.184	0.256	0.256	0.222	0.194	0.222	0.229	0.167	0.25	0.194	0.194	0.211	0.259	0.259	0.259	0.259	0.297	0.297	0.269	0.231	0.179	0.333	0.333	0.375	0.375	0.368	0.316	0.353	0.324	0.516	0.565	0.37	0.462	0.522	0.5	0.458	0.522	0.522	0.522	0.5	0.478	0.458	0.458	0.458	0.4	0.344	0.375	0.516	0.5	0.391	0.391
CG         	0.163	0.143	0.195	0.205	0.205	0.2	0.184	0.0	0.103	0.103	0.171	0.171	0.2	0.147	0.206	0.235	0.206	0.206	0.2	0.185	0.185	0.185	0.185	0.211	0.211	0.296	0.259	0.214	0.4	0.4	0.375	0.375	0.368	0.316	0.289	0.263	0.375	0.478	0.357	0.423	0.435	0.478	0.5	0.435	0.435	0.435	0.417	0.391	0.375	0.375	0.375	0.423	0.4	0.429	0.387	0.355	0.333	0.333
Grk         	0.238	0.22	0.238	0.205	0.231	0.244	0.256	0.103	0.0	0.0	0.162	0.162	0.189	0.135	0.194	0.216	0.194	0.194	0.216	0.148	0.148	0.148	0.148	0.225	0.225	0.269	0.231	0.185	0.4	0.4	0.333	0.333	0.333	0.278	0.293	0.31	0.333	0.478	0.357	0.423	0.435	0.478	0.538	0.409	0.409	0.409	0.391	0.364	0.348	0.348	0.348	0.462	0.4	0.382	0.469	0.387	0.333	0.333
CyG         	0.238	0.22	0.238	0.205	0.231	0.244	0.256	0.103	0.0	0.0	0.162	0.162	0.189	0.135	0.194	0.216	0.194	0.194	0.216	0.148	0.148	0.148	0.148	0.225	0.225	0.269	0.231	0.185	0.4	0.4	0.333	0.333	0.333	0.278	0.293	0.31	0.333	0.478	0.357	0.423	0.435	0.478	0.538	0.409	0.409	0.409	0.391	0.364	0.348	0.348	0.348	0.462	0.4	0.382	0.469	0.387	0.333	0.333
