	Austronesian	Basque	Dravidian	Indo-European	Japanese	Korean	Mongol	North Caucasian	Semitic	Senegalese	Sino-Tibetan	Tungusic	Turkic	Uralic	Yukaghir
Austronesian	0.000000	0.341500	0.364000	0.339036	0.318000	0.364000	0.270000	0.303000	0.284000	0.429000	0.471000	0.243000	0.194400	0.240000	0.343000
Basque	0.341500	0.000000	0.253500	0.271732	0.208000	0.250000	0.275500	0.305000	0.308000	0.472500	0.368000	0.359500	0.302800	0.278250	0.239500
Dravidian	0.364000	0.253500	0.000000	0.221000	0.348000	0.348000	0.189000	0.158000	0.232500	0.516000	0.333000	0.265000	0.236400	0.291333	0.243000
Indo-European	0.339036	0.271732	0.221000	0.000000	0.275464	0.239357	0.300964	0.241964	0.218732	0.395929	0.343000	0.328429	0.298907	0.304464	0.324929
Japanese	0.318000	0.208000	0.348000	0.275464	0.000000	0.100000	0.400000	0.429000	0.341000	0.524000	0.318000	0.435000	0.339200	0.369500	0.360000
Korean	0.364000	0.250000	0.348000	0.239357	0.100000	0.000000	0.400000	0.429000	0.295500	0.476000	0.273000	0.435000	0.339200	0.384333	0.360000
Mongol	0.270000	0.275500	0.189000	0.300964	0.400000	0.400000	0.000000	0.222000	0.275500	0.400000	0.368000	0.175000	0.108800	0.191500	0.150000
North Caucasian	0.303000	0.305000	0.158000	0.241964	0.429000	0.429000	0.222000	0.000000	0.253500	0.467000	0.412000	0.294000	0.208200	0.251500	0.286000
Semitic	0.284000	0.308000	0.232500	0.218732	0.341000	0.295500	0.275500	0.253500	0.000000	0.369000	0.412000	0.364000	0.309000	0.272750	0.324500
Senegalese	0.429000	0.472500	0.516000	0.395929	0.524000	0.476000	0.400000	0.467000	0.369000	0.000000	0.263000	0.467000	0.446600	0.465167	0.419000
Sino-Tibetan	0.471000	0.368000	0.333000	0.343000	0.318000	0.273000	0.368000	0.412000	0.412000	0.263000	0.000000	0.389000	0.344200	0.422833	0.368000
Tungusic	0.243000	0.359500	0.265000	0.328429	0.435000	0.435000	0.175000	0.294000	0.364000	0.467000	0.389000	0.000000	0.103200	0.204833	0.243000
Turkic	0.194400	0.302800	0.236400	0.298907	0.339200	0.339200	0.108800	0.208200	0.309000	0.446600	0.344200	0.103200	0.000000	0.167933	0.189000
Uralic	0.240000	0.278250	0.291333	0.304464	0.369500	0.384333	0.191500	0.251500	0.272750	0.465167	0.422833	0.204833	0.167933	0.000000	0.253500
Yukaghir	0.343000	0.239500	0.243000	0.324929	0.360000	0.360000	0.150000	0.286000	0.324500	0.419000	0.368000	0.243000	0.189000	0.253500	0.000000
