ID  FGM	FGA	FGK	SPK	FGP	FSP	FGN	SCO	GDP	FSN	FNN	FGT	FGG	FSG	CGB	FPC	DGR	DGP	CGR	NWD	FVP	DGD	DPQ	DCN	DNN	DIN	FGC	FGE	FCN	HMP	ARR	GCN	GFN	GFP	GP3	GEI	CSE	EAL	CAL	LKA	LKO	LKP	DMP	DMG	GUN	GAD	GFL	PGL	GGH	GSI	ALP	GIT	UST	GPC	PSC	PCA	PMN	RHM	FRC	NRC	DOR	FFP	NUP	PNP	NUD	NUC	NM1	NM2	NUA	NGL	EAF	ACM	DSN	DSA	DSS	DOC	NEX	PEX	FEX	PDC	PCL	APO	WAP	AGE	OPK	TSP	TDP	TDC	TSA	TAR	TLC	TND	TDA	TNL
Siciliano	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	0	0	0	0	0	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	0	0	1	1	1	0	-9	-9	-9	0	-9	-9	0	-9	-9	1	1	1	0	0	1	1	0	0	0	-9	1	-9	0	-9	-9	-9	-9
Calabrese_Northern	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	1	0	0	0	0	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	1	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	0	0	1	1	1	0	-9	-9	-9	0	-9	-9	0	-9	-9	1	1	1	0	0	1	0	0	1	0	-9	1	-9	0	-9	-9	-9	-9
Italian	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	0	0	0	0	0	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	0	-9	-9	-9	-9	-9	0	-9	-9	1	1	1	0	0	1	-9	0	1	0	-9	1	0	0	-9	-9	-9	-9
Spanish	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	1	0	0	0	1	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	0	-9	-9	-9	-9	-9	0	-9	-9	1	1	1	1	-9	1	-9	0	0	0	-9	1	0	1	-9	-9	-9	-9
French	1	1	1	0	1	-9	1	-9	-9	1	0	0	1	1	0	0	1	-9	0	0	0	0	-9	0	0	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	0	-9	-9	-9	-9	-9	0	-9	-9	1	1	1	1	-9	0	-9	-9	0	1	0	-9	-9	-9	-9	-9	-9	0
Portuguese	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	0	0	0	0	1	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	0	-9	-9	-9	-9	-9	0	-9	-9	1	1	1	1	-9	1	-9	0	0	0	-9	1	0	0	-9	-9	-9	-9
Romanian	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	1	0	0	1	-9	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	1	1	0	1	0	0	-9	0	0	1	0	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	0	-9	-9	-9	-9	0	0	-9	0	1	1	1	0	-9	0	-9	-9	1	0	-9	1	1	0	-9	-9	-9	-9
Greek_Calabria	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	1	0	0	0	0	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	0	1	-9	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	-9	0	1	1	1	0	-9	-9	-9	0	-9	-9	0	-9	-9	0	-9	-9	0	1	0	0	-9	0	0	-9	1	-9	0	-9	-9	-9	-9
Greek	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	1	0	0	0	0	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	0	1	-9	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	-9	0	1	1	1	1	1	1	0	-9	-9	-9	1	0	-9	-9	-9	-9	0	1	0	0	-9	0	0	-9	0	0	1	1	-9	0	1
Greek_Cypriot	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	0	1	0	0	0	0	0	-9	-9	0	0	1	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	0	1	-9	-9	0	0	0	0	0	1	-9	-9	0	1	0	0	-9	0	1	1	1	1	1	1	0	-9	-9	-9	1	0	-9	-9	-9	-9	0	1	0	0	-9	0	0	-9	0	0	1	1	-9	0	1
English	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	1	0	0	1	-9	0	1	-9	0	0	0	0	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	1	0	0	0	-9	-9	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	-9	1	0	-9	-9	-9	-9	-9
Dutch	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	1	-9	0	0	0	1	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	0	0	0	0	-9	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	-9	1	0	-9	-9	-9	-9	-9
Afrikaans	1	1	1	0	1	-9	1	-9	-9	1	1	0	0	1	0	0	1	-9	0	1	-9	0	0	0	1	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	0	0	0	0	0	0	-9	-9	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	-9	1	0	-9	-9	-9	-9	-9
German	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	1	-9	0	0	0	1	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	1	1	-9	0	0	0	0	-9	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	0	-9	0	-9	-9	0	-9	-9	-9	-9	-9	-9	0	-9	-9	0	0	-9	1	0	-9	-9	-9	-9	-9
Danish	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	1	-9	0	0	1	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	0	-9	0	1	0	0	1	0	0	0	-9	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	-9	-9	-9	0	-9	0	-9	-9	-9	-9	-9	-9	0	-9	-9	1	0	-9	1	0	-9	-9	-9	-9	-9
Icelandic	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	1	1	-9	0	0	1	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	1	0	0	1	1	-9	-9	0	0	0	-9	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	0	-9	0	0	-9	0	-9	-9	-9	-9	1	-9	0	-9	-9	1	0	-9	1	0	-9	-9	-9	-9	-9
Faroese	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	1	-9	0	0	1	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	0	-9	0	1	0	0	1	0	0	0	-9	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	-9	-9	-9	1	-9	0	-9	-9	-9	-9	-9	-9	0	-9	-9	1	0	-9	1	0	-9	-9	-9	-9	-9
Norwegian	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	0	1	-9	0	0	1	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	-9	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	-9	-9	-9	1	-9	0	-9	-9	-9	-9	-9	-9	0	-9	-9	1	0	-9	1	0	-9	-9	-9	-9	-9
Bulgarian	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	1	-9	1	0	1	0	0	1	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	1	0	0	1	0	0	-9	0	0	0	-9	0	1	-9	-9	0	1	0	0	0	0	1	1	1	1	1	1	-9	-9	-9	0	-9	0	1	-9	-9	-9	0	-9	1	-9	1	0	0	-9	1	1	-9	-9	0	-9	-9
Serbo0Croatian	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	0	0	-9	-9	-9	-9	0	-9	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	0	1	-9	-9	0	0	0	-9	0	1	-9	-9	0	1	0	-9	-9	0	1	1	1	1	1	1	0	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	0	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
Slovenian	1	1	1	0	1	-9	1	-9	-9	1	1	0	1	1	0	0	0	0	-9	-9	-9	-9	0	-9	-9	0	-9	-9	0	0	0	0	-9	-9	-9	-9	1	0	0	0	0	0	-9	-9	0	0	1	-9	-9	0	0	0	-9	0	1	-9	-9	0	1	0	-9	-9	0	1	1	1	1	1	1	0	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	0	1	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
