ID	FGM	FGA	FGK	SPK	FGP	FSN	FGT	FGG	FSG	CGB	DGR	DIN	FCN	ARR	GCN	CSE	EAL	CAL	LKA	LKO	LKP	GAD	GFL	ALP	PSC	RHM	FRC	NRC	NUP	PNP	NUD	APO
Sic	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1
NCa	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1
It	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1
Sp	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1
Fr	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
Ptg	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1
Rm	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
CGB	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0
Grk	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0
CyG	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0
En	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
Du	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
Afk	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
Dut	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0
Da	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
Ice	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0
FO	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
Nor	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0
Blg	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1
SC	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1
Slo	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1
Po	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1
Rus	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1
Ir	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0
Wel	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0
Ma	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	-9	1	0
Hi	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	-9	1	0
Pas	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0
Ta	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	-9	1	-9	1	0
Te	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	-9	1	-9	1	0
Man	0	-9	-9	-9	-9	-9	0	-9	-9	1	-9	-9	-9	1	0	1	-9	-9	1	-9	1	-9	0	0	-9	-9	1	0	-9	-9	-9	0
Can	0	-9	-9	-9	-9	-9	0	-9	-9	1	-9	-9	-9	1	0	1	-9	-9	1	-9	1	-9	0	0	-9	-9	1	0	-9	-9	-9	0
Jap	1	0	1	0	0	-9	0	-9	-9	0	-9	-9	-9	1	0	1	0	0	1	-9	0	-9	0	0	-9	-9	1	1	-9	-9	-9	-9
Kor	1	0	1	0	0	-9	0	-9	-9	0	-9	-9	-9	1	0	1	0	0	1	-9	0	-9	0	0	-9	-9	1	0	-9	-9	-9	-9
